date,btc,gold,btc_tradable,gold_inter,gold_tradable,btc_diff,gold_diff
2016-09-11,621.65,,True,1324.6,False,,
2016-09-12,609.67,1324.6,True,1324.6,True,-11.980000000000018,0.0
2016-09-13,610.92,1323.65,True,1323.65,True,1.25,-0.9499999999998181
2016-09-14,608.82,1321.75,True,1321.75,True,-2.099999999999909,-1.900000000000091
2016-09-15,610.38,1310.8,True,1310.8,True,1.5599999999999454,-10.950000000000045
2016-09-16,609.11,1308.35,True,1308.35,True,-1.2699999999999818,-2.4500000000000455
2016-09-17,607.04,,True,1310.5166666666667,False,-2.07000000000005,2.1666666666667425
2016-09-18,611.58,,True,1312.6833333333332,False,4.540000000000077,2.166666666666515
2016-09-19,610.19,1314.85,True,1314.85,True,-1.3899999999999864,2.1666666666667425
2016-09-20,608.66,1313.8,True,1313.8,True,-1.5300000000000864,-1.0499999999999545
2016-09-21,598.88,1326.1,True,1326.1,True,-9.779999999999973,12.299999999999955
2016-09-22,597.42,1339.1,True,1339.1,True,-1.4600000000000364,13.0
2016-09-23,594.08,1338.65,True,1338.65,True,-3.339999999999918,-0.4499999999998181
2016-09-24,603.88,,True,1339.2666666666667,False,9.799999999999955,0.6166666666665606
2016-09-25,601.74,,True,1339.8833333333334,False,-2.1399999999999864,0.6166666666667879
2016-09-26,598.98,1340.5,True,1340.5,True,-2.759999999999991,0.6166666666665606
2016-09-27,605.96,1327.0,True,1327.0,True,6.980000000000018,-13.5
2016-09-28,605.67,1322.5,True,1322.5,True,-0.2900000000000773,-4.5
2016-09-29,603.85,1318.1,True,1318.1,True,-1.8199999999999363,-4.400000000000091
2016-09-30,609.39,1322.5,True,1322.5,True,5.539999999999964,4.400000000000091
2016-10-01,614.82,,True,1319.4333333333334,False,5.430000000000064,-3.066666666666606
2016-10-02,612.98,,True,1316.3666666666666,False,-1.8400000000000318,-3.0666666666668334
2016-10-03,611.85,1313.3,True,1313.3,True,-1.1299999999999955,-3.066666666666606
2016-10-04,609.62,1283.3,True,1283.3,True,-2.230000000000018,-30.0
2016-10-05,607.18,1269.4,True,1269.4,True,-2.4400000000000546,-13.899999999999864
2016-10-06,612.08,1254.5,True,1254.5,True,4.900000000000091,-14.900000000000091
2016-10-07,617.21,1258.75,True,1258.75,True,5.1299999999999955,4.25
2016-10-08,614.74,,True,1259.0,False,-2.4700000000000273,0.25
2016-10-09,615.65,,True,1259.25,False,0.9099999999999682,0.25
2016-10-10,617.54,1259.5,True,1259.5,True,1.8899999999999864,0.25
2016-10-11,614.77,1253.45,True,1253.45,True,-2.769999999999982,-6.0499999999999545
2016-10-12,635.01,1256.5,True,1256.5,True,20.24000000000001,3.0499999999999545
2016-10-13,635.96,1261.05,True,1261.05,True,0.9500000000000455,4.5499999999999545
2016-10-14,634.02,1251.75,True,1251.75,True,-1.9400000000000546,-9.299999999999955
2016-10-15,637.94,,True,1252.7666666666667,False,3.9200000000000728,1.0166666666666515
2016-10-16,641.42,,True,1253.7833333333333,False,3.4799999999999045,1.0166666666666515
2016-10-17,638.97,1254.8,True,1254.8,True,-2.449999999999932,1.0166666666666515
2016-10-18,636.29,1258.2,True,1258.2,True,-2.6800000000000637,3.400000000000091
2016-10-19,629.25,1269.05,True,1269.05,True,-7.039999999999964,10.849999999999909
2016-10-20,627.72,1271.65,True,1271.65,True,-1.5299999999999727,2.6000000000001364
2016-10-21,631.92,1266.05,True,1266.05,True,4.199999999999932,-5.600000000000136
2016-10-22,655.48,,True,1265.8833333333332,False,23.56000000000006,-0.16666666666674246
2016-10-23,653.25,,True,1265.7166666666667,False,-2.230000000000018,-0.16666666666651508
2016-10-24,651.39,1265.55,True,1265.55,True,-1.8600000000000136,-0.16666666666674246
2016-10-25,655.31,1269.4,True,1269.4,True,3.919999999999959,3.8500000000001364
2016-10-26,651.45,1270.5,True,1270.5,True,-3.8599999999999,1.099999999999909
2016-10-27,682.22,1266.25,True,1266.25,True,30.769999999999982,-4.25
2016-10-28,687.68,1273.0,True,1273.0,True,5.459999999999923,6.75
2016-10-29,685.91,,True,1272.6666666666667,False,-1.7699999999999818,-0.33333333333325754
2016-10-30,698.0,,True,1272.3333333333333,False,12.090000000000032,-0.3333333333334849
2016-10-31,702.0,1272.0,True,1272.0,True,4.0,-0.33333333333325754
2016-11-01,697.01,1288.45,True,1288.45,True,-4.990000000000009,16.450000000000045
2016-11-02,733.33,1303.75,True,1303.75,True,36.32000000000005,15.299999999999955
2016-11-03,686.17,1301.0,True,1301.0,True,-47.16000000000008,-2.75
2016-11-04,683.69,1302.8,True,1302.8,True,-2.4799999999999045,1.7999999999999545
2016-11-05,704.79,,True,1296.2166666666667,False,21.09999999999991,-6.5833333333332575
2016-11-06,712.0,,True,1289.6333333333332,False,7.210000000000036,-6.583333333333485
2016-11-07,709.96,1283.05,True,1283.05,True,-2.0399999999999636,-6.5833333333332575
2016-11-08,708.97,1282.35,True,1282.35,True,-0.9900000000000091,-0.7000000000000455
