,idx,btc,gold_inter,gold
0,0,17346.944135707097,1480.257346270627,1480.257346270627
1,1,21030.98398324667,1267.16809240085,1267.16809240085
2,2,15901.666421613503,741.2000654344916,741.2000654344916
3,3,20233.615891988185,1531.201512446302,1531.201512446302
4,4,16077.903336770629,1122.0772952752168,1122.0772952752168
5,5,10299.6411598484,680.018551863635,680.018551863635
6,6,2805.293168609386,1944.776214291426,1944.776214291426
7,7,7246.559765437765,228.08519433936917,228.08519433936917
8,8,8250.387815515967,166.933084331234,166.933084331234
9,9,17179.618821360298,358.12259359780586,358.12259359780586
10,10,20033.881427434862,542.0195207889428,542.0195207889428
11,11,14955.145991577016,887.8558083540523,887.8558083540523
12,12,14899.510549095938,221.65277476443697,221.65277476443697
13,13,13090.130453056276,2170.9007016037435,2170.9007016037435
14,14,14877.276288736288,344.5750427856885,344.5750427856885
15,15,12445.412992481424,44.45055448795199,44.45055448795199
16,16,5350.582894331227,788.4370444914985,788.4370444914985
17,17,4616.763381658681,1243.234118453868,1243.234118453868
18,18,2502.8422141991805,2631.7953049719235,2631.7953049719235
19,19,2027.1181173041168,1851.4334690378823,1851.4334690378823
20,20,1672.1420953237182,2519.790819706945,2519.790819706945
21,21,550.6335229711308,699.705326695443,699.705326695443
22,22,459.6228404993707,2000.2896107697643,2000.2896107697643
23,23,14493.255120979678,429.5951234585808,429.5951234585808
24,24,32102.868496553376,568.1139125764543,568.1139125764543
25,25,47664.60439316625,2007.8703606634408,2007.8703606634408
26,26,80733.87961689691,4970.378437584774,4970.378437584774
27,27,59097.61451929565,4801.882061990255,4801.882061990255
28,28,99362.64474019552,2945.5065601205097,2945.5065601205097
29,29,98997.07180349002,1101.2971950448275,1101.2971950448275
30,30,99266.41958043544,1526.0838817861315,1526.0838817861315
31,31,99009.7258694414,3925.194870950644,3925.194870950644
32,32,99940.0796857302,4772.583064930704,4772.583064930704
33,33,99498.1816696819,4911.609287580146,4911.609287580146
34,34,99889.35567083678,4200.545969715442,4200.545969715442
35,35,97927.72709345678,2576.8222499725257,2576.8222499725257
36,36,89159.3505577113,4157.908711249012,4157.908711249012
37,37,97169.31169120409,4974.640040049573,4974.640040049573
38,38,99943.30638699445,4877.756396103161,4877.756396103161
39,39,99991.9862570722,4973.755199900419,4973.755199900419
40,40,99439.05454114554,3949.903198176336,3949.903198176336
41,41,87279.7726734842,1755.5941126458752,1755.5941126458752
42,42,51334.48071379933,4127.063521826532,4127.063521826532
43,43,43631.67481928835,4069.4609513915257,4069.4609513915257
44,44,13602.9464067397,4953.689381239542,4953.689381239542
45,45,21666.97735757121,4998.656173638798,4998.656173638798
46,46,14174.052665049949,4987.048915649357,4987.048915649357
47,47,18154.90287494956,4999.364590989677,4999.364590989677
48,48,20752.35766427777,4884.594408111511,4884.594408111511
49,49,31283.113065704118,4109.396805654816,4109.396805654816
50,50,28522.737317548497,4999.539146350016,4999.539146350016
51,51,25966.40645365012,4976.860990904486,4976.860990904486
52,52,26253.90307988844,4944.382867019977,4944.382867019977
53,53,31149.582518150968,4997.259232148187,4997.259232148187
54,54,39532.31647577973,4821.267651098461,4821.267651098461
55,55,44977.396658070815,4289.979372346646,4289.979372346646
56,56,65791.99922295297,4640.714103126039,4640.714103126039
57,57,95860.00499702152,4014.756625029533,4014.756625029533
58,58,99888.43106708847,3068.3770506143064,3068.3770506143064
59,59,99782.51831478324,1109.008327519063,1109.008327519063
60,60,99969.48021526296,3232.304852302978,3232.304852302978
61,61,95982.77646094652,4922.08877632261,4922.08877632261
62,62,93898.68728518808,4734.185580561506,4734.185580561506
63,63,93780.16870273672,4799.125809828397,4799.125809828397
64,64,84058.67022418216,4969.973315365492,4969.973315365492
65,65,77479.26602432465,4955.408507635205,4955.408507635205
66,66,62124.48247675957,4575.292081307247,4575.292081307247
67,67,42290.04035848769,3888.2343645867472,3888.2343645867472
68,68,17437.551104551305,3754.3565143006554,3754.3565143006554
69,69,2121.6840194542883,3685.590351055535,3685.590351055535
70,70,5627.692195898302,3373.8254751136697,3373.8254751136697
71,71,6249.800026443795,2908.371998263566,2908.371998263566
72,72,5649.607265110202,3115.823169209329,3115.823169209329
73,73,7191.344183506729,2413.0022584735893,2413.0022584735893
74,74,6518.66668625462,556.2887726824162,556.2887726824162
75,75,5668.3311416324495,1747.499103552076,1747.499103552076
76,76,4078.158042736588,2399.604189975298,2399.604189975298
77,77,5225.499022512507,3282.6545787602126,3282.6545787602126
78,78,4069.0512173722495,4971.543707167017,4971.543707167017
79,79,10508.306117657126,4986.05462224234,4986.05462224234
80,80,22802.71681401517,4997.800511040556,4997.800511040556
81,81,11463.175471124949,4818.900882231449,4818.900882231449
82,82,12601.224468622013,4987.663375694097,4987.663375694097
83,83,19683.916718276163,4318.821291212962,4318.821291212962
84,84,37662.21073810048,3499.6445742423653,3499.6445742423653
85,85,31697.084299347254,3897.444371553012,3897.444371553012
86,86,48903.87108660005,3161.2289466564994,3161.2289466564994
87,87,26752.153541176645,3528.6709809145887,3528.6709809145887
88,88,8944.890555866461,3659.928704958128,3659.928704958128
89,89,10660.119432370117,3993.0821555916177,3993.0821555916177
90,90,7953.843013143413,3716.110098333581,3716.110098333581
91,91,313.1404355477217,4249.793345394522,4249.793345394522
92,92,5996.467065601576,4979.389902907492,4979.389902907492
93,93,12395.0248652193,4227.169700593652,4227.169700593652
94,94,7598.74310793183,4978.960674143688,4978.960674143688
95,95,21787.049019154045,4995.662221585727,4995.662221585727
96,96,53353.1087964617,4485.681884226864,4485.681884226864
97,97,21364.155914257983,4966.548097584248,4966.548097584248
98,98,69287.22982724624,3500.717621324402,3500.717621324402
99,99,20871.92821689629,4963.909550614251,4963.909550614251
100,100,13178.813261052086,4846.747918094964,4846.747918094964
101,101,10048.91307838924,4976.174810103928,4976.174810103928
102,102,12068.80630413109,4986.567398134617,4986.567398134617
103,103,9093.474281605892,4985.148785575956,4985.148785575956
104,104,2244.31837334942,4995.984021430714,4995.984021430714
105,105,6341.03110055008,4999.167646344224,4999.167646344224
106,106,2282.3207797152045,4983.953352199871,4983.953352199871
107,107,3741.1427641681566,4977.05285770192,4977.05285770192
108,108,7923.717593451744,4989.936736061654,4989.936736061654
109,109,5990.718135145835,4660.402993206103,4660.402993206103
110,110,4513.388297246715,3610.814006392897,3610.814006392897
111,111,4345.993177498169,4007.577301714843,4007.577301714843
112,112,2606.7974262853804,3625.822317503747,3625.822317503747
113,113,4246.6768203069805,4297.0879138026,4297.0879138026
114,114,4190.591446041201,2722.4242199664427,2722.4242199664427
115,115,5789.957013203549,3891.4367828981344,3891.4367828981344
116,116,9355.1756701888,3751.172083968313,3751.172083968313
117,117,15068.789215513789,4823.6203916946615,4823.6203916946615
118,118,10868.866613044049,4780.265723722988,4780.265723722988
119,119,1675.300978460219,4974.600214270345,4974.600214270345
120,120,3243.656033611857,4191.492716999504,4191.492716999504
121,121,6214.298506421636,4619.36269409801,4619.36269409801
122,122,4299.926502989002,4965.987214827583,4965.987214827583
123,123,4211.879855081699,4951.172429268791,4951.172429268791
124,124,5604.558234047873,4984.545723359919,4984.545723359919
125,125,5561.473679322167,4873.130049585346,4873.130049585346
126,126,7401.940645581877,4777.065459731866,4777.065459731866
127,127,11448.58470005719,4143.503994213017,4143.503994213017
128,128,13428.662960232874,3070.99793740006,3070.99793740006
129,129,22199.363962165844,380.0141265354705,380.0141265354705
130,130,48557.31581633794,3497.146296482681,3497.146296482681
131,131,19930.33488000254,1021.7436460751768,1021.7436460751768
132,132,466.6915321667897,1845.319330642936,1845.319330642936
133,133,26888.93786269971,3539.271943454138,3539.271943454138
134,134,90897.17504465404,3179.1755372131342,3179.1755372131342
135,135,96735.24317287085,2776.0103884438367,2776.0103884438367
136,136,97397.31895441723,3539.658210557051,3539.658210557051
137,137,98089.55163186524,4925.413798500666,4925.413798500666
138,138,98261.49790739434,4923.900008490733,4923.900008490733
