index,gold_20
100,1118.242508
101,1108.752282
102,1111.484704
103,1118.676759
104,1125.190012
105,1123.929029
106,1120.59033
107,1106.367562
108,1105.924663
109,1109.326654
110,1118.776465
111,1114.929981
112,1102.866898
113,1100.417896
114,1105.741372
115,1105.668229
116,1109.206121
117,1101.930575
118,1098.290767
119,1090.997076
120,1182.317271
121,1192.152612
122,1180.311526
123,1188.485034
124,1194.550614
125,1197.607271
126,1194.855955
127,1196.17536
128,1198.75997
129,1196.569056
130,1200.265091
131,1201.884987
132,1201.900571
133,1199.672086
134,1196.44348
135,1192.952963
136,1193.867588
137,1196.555702
138,1193.049141
139,1188.892868
140,1189.297245
141,1185.623127
142,1176.495798
143,1177.534474
144,1164.1246
145,1173.528293
146,1170.873209
147,1168.282928
148,1161.926261
149,1150.197486
150,1166.374948
151,1163.31861
152,1160.596462
153,1156.959628
154,1151.310321
155,1148.717966
156,1144.820119
157,1150.46005
158,1148.635324
159,1151.762226
160,1253.725453
161,1254.368244
162,1252.505356
163,1245.538842
164,1250.949668
165,1250.405491
166,1254.133734
167,1256.809711
168,1258.09582
169,1263.369977
170,1251.533888
171,1252.016083
172,1254.266341
173,1253.377779
174,1260.104563
175,1263.381388
176,1270.066235
177,1272.639488
178,1268.100891
179,1262.222792
180,1214.124088
181,1222.156362
182,1224.278961
183,1231.647222
184,1225.871219
185,1234.267675
186,1227.415532
187,1220.20639
188,1220.388447
189,1214.026351
190,1212.049038
191,1220.601754
192,1222.32114
193,1219.121514
194,1212.020443
195,1209.65091
196,1204.828103
197,1213.211241
198,1206.666716
199,1221.682541
200,1249.929314
201,1241.526523
202,1248.425824
203,1246.097448
204,1240.994086
205,1241.590464
206,1238.937606
207,1241.580934
208,1242.167952
209,1242.000546
210,1240.219161
211,1238.238099
212,1239.750029
213,1247.027953
214,1251.492245
215,1240.215413
216,1246.252184
217,1247.166544
218,1251.049119
219,1255.141392
220,1273.260205
221,1272.570808
222,1272.86112
223,1274.886132
224,1279.710329
225,1273.525665
226,1276.402355
227,1270.04531
228,1262.685995
229,1267.042046
230,1273.15153
231,1279.113287
232,1281.572978
233,1275.414892
234,1279.901337
235,1287.454094
236,1281.726117
237,1277.60949
238,1280.112272
239,1280.539648
240,1223.439969
241,1218.375741
242,1205.293226
243,1194.123452
244,1192.904481
245,1192.616806
246,1190.264252
247,1191.191742
248,1189.302607
249,1191.849054
250,1196.001848
251,1190.695523
252,1188.323391
253,1188.753637
254,1194.037169
255,1209.985188
256,1209.835229
257,1213.909044
258,1215.739146
259,1213.766478
260,1264.235179
261,1258.352689
262,1259.590293
263,1250.504895
264,1248.726872
265,1251.388506
266,1252.985554
267,1254.157049
268,1250.847757
269,1247.287459
270,1249.568518
271,1244.559068
272,1247.666671
273,1244.525507
274,1242.603754
275,1240.947055
276,1243.808142
277,1251.67512
278,1248.977519
279,1248.125857
280,1254.831451
281,1253.055722
282,1250.118338
283,1257.084996
284,1263.577899
285,1257.833597
286,1256.173655
287,1252.011715
288,1254.30928
289,1249.665356
290,1252.004887
291,1249.599106
292,1257.510251
293,1257.119672
294,1255.505011
295,1252.224841
296,1251.426836
297,1248.531627
298,1246.675105
299,1252.987448
300,1223.070002
301,1227.250817
302,1232.627076
303,1238.198347
304,1244.962033
305,1248.54971
306,1256.483138
307,1255.058672
308,1259.7788
309,1272.209373
310,1276.061244
311,1276.36506
312,1275.781719
313,1275.672993
314,1276.953717
315,1276.948179
316,1273.342476
317,1272.951738
318,1270.292585
319,1268.90315
320,1260.864958
321,1260.205266
322,1268.370089
323,1271.096928
324,1276.220587
325,1275.61775
326,1279.942313
327,1279.032989
328,1283.89374
329,1285.212615
330,1286.168744
331,1287.522611
332,1283.739469
333,1279.036217
334,1277.630536
335,1274.099529
336,1271.662424
337,1267.04038
338,1263.135343
339,1261.137859
340,1269.91967
341,1275.034642
342,1270.212395
343,1269.250223
344,1265.754582
345,1263.163083
346,1253.299792
347,1247.193445
348,1239.297362
349,1238.248377
350,1239.924021
351,1242.338747
352,1241.20183
353,1237.584566
354,1240.708738
355,1237.178828
356,1239.207958
357,1234.369592
358,1231.360487
359,1230.452247
360,1335.566757
361,1338.969316
362,1340.612902
363,1343.970233
364,1337.904663
365,1338.002579
366,1337.745431
367,1344.254213
368,1344.234003
369,1343.657068
370,1344.561173
371,1345.732999
