index,gold_23
100,1118.242508
101,1108.752282
102,1111.484704
103,1118.676759
104,1125.190012
105,1123.929029
106,1120.59033
107,1106.367562
108,1105.924663
109,1109.326654
110,1118.776465
111,1114.929981
112,1102.866898
113,1100.417896
114,1105.741372
115,1105.668229
116,1109.206121
117,1101.930575
118,1098.290767
119,1090.997076
120,1087.67974
121,1094.431868
122,1092.873188
123,1186.796729
124,1189.750859
125,1189.836239
126,1184.151196
127,1184.101092
128,1183.214989
129,1181.912289
130,1183.945926
131,1185.066303
132,1184.913025
133,1182.31889
134,1177.714726
135,1173.346216
136,1174.011123
137,1175.994003
138,1172.757986
139,1170.415545
140,1168.936647
141,1167.670917
142,1165.426939
143,1171.433002
144,1162.477853
145,1161.178293
146,1216.8649
147,1210.986115
148,1213.446442
149,1202.483975
150,1219.589255
151,1216.76586
152,1207.818904
153,1206.351762
154,1203.839737
155,1207.91196
156,1209.864588
157,1202.70488
158,1212.597065
159,1206.036604
160,1215.723867
161,1213.04481
162,1215.087622
163,1212.905368
164,1209.269301
165,1203.643109
166,1210.881853
167,1213.656536
168,1213.441269
169,1260.05731
170,1256.52769
171,1254.269722
172,1262.785093
173,1268.412029
174,1272.532838
175,1272.598324
176,1269.964537
177,1273.60379
178,1266.339438
179,1265.926442
180,1271.908964
181,1276.029334
182,1276.042646
183,1282.357188
184,1280.171242
185,1282.690156
186,1274.953343
187,1272.49007
188,1276.897854
189,1277.98267
190,1278.914018
191,1286.767576
192,1250.259997
193,1253.403063
194,1252.937977
195,1248.231902
196,1245.592684
197,1243.238992
198,1247.100993
199,1241.330846
200,1241.455165
201,1234.404771
202,1233.652406
203,1234.011208
204,1225.681859
205,1226.437857
206,1218.660081
207,1214.180279
208,1215.279773
209,1214.666773
210,1219.827443
211,1218.392303
212,1217.273447
213,1221.573493
214,1216.214
215,1274.9346
216,1282.199313
217,1280.006974
218,1278.995389
219,1280.545329
220,1278.941569
221,1281.548737
222,1283.240375
223,1282.223628
224,1285.544931
225,1281.06933
226,1282.640816
227,1277.976827
228,1272.077659
229,1275.939874
230,1281.730249
231,1282.822486
232,1282.462798
233,1276.337905
234,1278.942022
235,1292.925503
236,1283.442084
237,1280.873765
238,1230.649638
239,1234.066576
240,1228.1941
241,1223.722428
242,1211.102458
243,1201.722989
244,1203.055796
245,1203.508903
246,1203.080269
247,1205.176223
248,1203.384611
249,1207.061359
250,1213.300689
251,1209.107984
252,1207.768891
253,1207.523915
254,1212.110272
255,1228.361928
256,1228.074777
257,1231.499129
258,1232.805618
259,1228.99755
260,1234.403015
261,1256.971113
262,1258.550052
263,1249.915123
264,1248.099225
265,1250.299495
266,1252.130126
267,1253.345719
268,1249.707215
269,1245.984148
270,1248.72589
271,1243.687461
272,1246.95583
273,1244.129175
274,1243.034125
275,1241.434289
276,1243.814169
277,1251.357215
278,1248.886676
279,1248.205887
280,1243.804091
281,1246.084369
282,1247.066097
283,1248.487891
284,1250.22328
285,1243.798615
286,1243.377779
287,1236.310974
288,1233.871504
289,1230.615068
290,1236.655478
291,1236.77645
292,1244.464466
293,1241.973973
294,1243.20817
295,1244.03913
296,1245.979267
297,1237.311268
298,1233.876888
299,1238.05281
300,1246.93074
301,1248.034129
302,1251.376535
303,1255.578049
304,1260.075476
305,1251.219671
306,1258.023797
307,1221.258202
308,1225.067132
309,1240.398138
310,1235.957268
311,1242.516942
312,1236.020869
313,1242.213239
314,1248.269482
315,1251.363521
316,1253.752116
317,1251.845481
318,1254.579671
319,1252.443772
320,1259.339106
321,1259.749115
322,1265.734907
323,1265.064788
324,1263.91166
325,1267.068298
326,1270.493531
327,1267.145033
328,1270.467754
329,1268.536512
330,1257.267162
331,1254.727792
332,1246.263003
333,1240.014467
334,1238.013884
335,1235.360858
336,1233.251881
337,1229.935842
338,1227.220783
339,1226.050471
340,1225.498137
341,1231.49515
342,1224.491696
343,1225.287494
344,1227.015314
345,1227.684493
346,1227.535195
347,1228.170365
348,1225.931361
349,1225.411061
350,1229.328997
351,1230.616735
352,1229.877715
353,1318.362345
354,1323.342623
355,1320.548594
356,1325.785885
357,1323.024883
358,1330.256608
359,1337.223639
360,1339.87349
361,1344.063808
362,1343.482612
363,1349.688717
364,1341.327402
365,1334.037023
366,1330.431369
367,1336.837576
368,1339.243266
369,1338.942981
370,1339.872815
371,1344.296378
